Frame,Visibility,X,Y,Time
0,1,721,253,00:00:00.0
1,1,721,248,00:00:00.03333333333333333
2,1,721,248,00:00:00.06666666666666667
3,1,721,243,00:00:00.1
4,1,721,241,00:00:00.13333333333333333
5,1,721,238,00:00:00.16666666666666666
6,0,0,0,00:00:00.2
7,0,0,0,00:00:00.23333333333333334
8,0,0,0,00:00:00.26666666666666666
9,1,716,243,00:00:00.3
10,1,678,406,00:00:00.3333333333333333
11,1,667,411,00:00:00.36666666666666664
12,1,716,257,00:00:00.4
13,1,716,263,00:00:00.43333333333333335
14,1,716,263,00:00:00.4666666666666667
15,1,716,273,00:00:00.5
16,1,722,341,00:00:00.5333333333333333
17,1,705,283,00:00:00.5666666666666667
18,1,726,352,00:00:00.6
19,1,665,255,00:00:00.6333333333333333
20,1,663,253,00:00:00.6666666666666666
21,1,748,496,00:00:00.7
22,1,753,491,00:00:00.7333333333333333
23,1,748,446,00:00:00.7666666666666666
24,1,610,231,00:00:00.8
25,1,606,231,00:00:00.8333333333333334
26,1,606,231,00:00:00.8666666666666667
27,1,596,228,00:00:00.9
28,1,591,223,00:00:00.9333333333333333
29,1,586,201,00:00:00.9666666666666667
30,1,581,181,00:00:01.0
31,0,0,0,00:00:01.0333333333333332
32,0,0,0,00:00:01.0666666666666667
33,1,703,463,00:00:01.1
34,1,567,133,00:00:01.1333333333333333
35,1,562,123,00:00:01.1666666666666667
36,1,561,112,00:00:01.2
37,1,558,107,00:00:01.2333333333333334
38,1,558,106,00:00:01.2666666666666666
39,0,0,0,00:00:01.3
40,0,0,0,00:00:01.3333333333333333
41,0,0,0,00:00:01.3666666666666667
42,0,0,0,00:00:01.4
43,0,0,0,00:00:01.4333333333333333
44,0,0,0,00:00:01.4666666666666666
45,1,522,96,00:00:01.5
46,1,558,95,00:00:01.5333333333333332
47,1,523,106,00:00:01.5666666666666667
48,1,561,98,00:00:01.6
49,1,561,101,00:00:01.6333333333333333
50,1,561,103,00:00:01.6666666666666667
51,1,533,108,00:00:01.7
52,1,535,108,00:00:01.7333333333333334
53,1,537,106,00:00:01.7666666666666666
54,1,540,101,00:00:01.8
55,1,671,411,00:00:01.8333333333333333
56,1,671,410,00:00:01.8666666666666667
57,1,631,522,00:00:01.9
58,1,622,522,00:00:01.9333333333333333
59,1,572,166,00:00:01.9666666666666666
60,1,572,182,00:00:02.0
61,1,573,191,00:00:02.033333333333333
62,1,573,193,00:00:02.0666666666666664
63,1,567,97,00:00:02.1
64,1,576,225,00:00:02.1333333333333333
65,1,572,96,00:00:02.1666666666666665
66,1,581,261,00:00:02.2
67,1,581,280,00:00:02.2333333333333334
68,1,581,280,00:00:02.2666666666666666
69,1,581,281,00:00:02.3
70,1,581,281,00:00:02.3333333333333335
71,1,586,346,00:00:02.3666666666666667
72,1,587,376,00:00:02.4
73,1,605,96,00:00:02.433333333333333
74,1,608,101,00:00:02.466666666666667
75,1,590,401,00:00:02.5
76,1,591,396,00:00:02.533333333333333
77,1,591,391,00:00:02.5666666666666664
78,1,591,383,00:00:02.6
79,1,591,383,00:00:02.6333333333333333
80,1,591,385,00:00:02.6666666666666665
81,1,592,381,00:00:02.7
82,1,592,381,00:00:02.7333333333333334
83,1,592,383,00:00:02.7666666666666666
84,1,593,386,00:00:02.8
85,1,503,457,00:00:02.8333333333333335
86,1,503,457,00:00:02.8666666666666667
87,1,596,396,00:00:02.9
88,1,596,401,00:00:02.933333333333333
89,1,596,408,00:00:02.966666666666667
90,1,548,410,00:00:03.0
91,1,580,367,00:00:03.033333333333333
92,1,580,366,00:00:03.0666666666666664
93,1,563,320,00:00:03.1
94,1,553,292,00:00:03.1333333333333333
95,1,543,266,00:00:03.1666666666666665
96,1,536,250,00:00:03.2
97,1,530,232,00:00:03.2333333333333334
98,1,528,231,00:00:03.2666666666666666
99,1,521,216,00:00:03.3
100,1,515,206,00:00:03.3333333333333335
101,1,508,198,00:00:03.3666666666666667
102,1,506,193,00:00:03.4
103,1,502,191,00:00:03.433333333333333
104,1,501,191,00:00:03.466666666666667
105,1,497,187,00:00:03.5
106,1,496,187,00:00:03.533333333333333
107,1,493,187,00:00:03.5666666666666664
108,1,490,187,00:00:03.6
109,1,488,188,00:00:03.6333333333333333
110,1,488,188,00:00:03.6666666666666665
111,1,458,438,00:00:03.6999999999999997
112,1,591,91,00:00:03.7333333333333334
113,1,583,88,00:00:03.7666666666666666
114,1,477,143,00:00:03.8
115,1,472,396,00:00:03.8333333333333335
116,1,476,142,00:00:03.8666666666666667
117,1,472,128,00:00:03.9
118,1,471,123,00:00:03.933333333333333
119,1,468,121,00:00:03.966666666666667
120,1,466,111,00:00:04.0
121,1,466,108,00:00:04.033333333333333
122,1,466,108,00:00:04.066666666666666
123,1,462,102,00:00:04.1
124,1,461,100,00:00:04.133333333333333
125,1,461,100,00:00:04.166666666666667
126,0,0,0,00:00:04.2
127,0,0,0,00:00:04.233333333333333
128,0,0,0,00:00:04.266666666666667
129,1,527,438,00:00:04.3
130,1,526,450,00:00:04.333333333333333
131,1,530,451,00:00:04.366666666666666
132,1,450,51,00:00:04.4
133,1,448,37,00:00:04.433333333333334
134,1,448,37,00:00:04.466666666666667
135,1,466,95,00:00:04.5
136,1,463,93,00:00:04.533333333333333
137,1,458,90,00:00:04.566666666666666
138,0,0,0,00:00:04.6
139,1,448,88,00:00:04.633333333333333
140,0,0,0,00:00:04.666666666666667
141,0,0,0,00:00:04.7
142,0,0,0,00:00:04.733333333333333
143,0,0,0,00:00:04.766666666666667
144,1,515,325,00:00:04.8
145,0,0,0,00:00:04.833333333333333
146,0,0,0,00:00:04.866666666666666
147,0,0,0,00:00:04.9
148,0,0,0,00:00:04.933333333333334
149,1,520,407,00:00:04.966666666666667
150,0,0,0,00:00:05.0
151,0,0,0,00:00:05.033333333333333
152,1,478,366,00:00:05.066666666666666
153,0,0,0,00:00:05.1
154,0,0,0,00:00:05.133333333333333
155,0,0,0,00:00:05.166666666666667
156,0,0,0,00:00:05.2
157,0,0,0,00:00:05.233333333333333
158,0,0,0,00:00:05.266666666666667
159,1,53,190,00:00:05.3
160,1,51,188,00:00:05.333333333333333
161,1,52,187,00:00:05.366666666666666
162,1,452,291,00:00:05.4
163,1,458,298,00:00:05.433333333333334
164,1,460,298,00:00:05.466666666666667
165,0,0,0,00:00:05.5
166,0,0,0,00:00:05.533333333333333
167,0,0,0,00:00:05.566666666666666
168,1,433,81,00:00:05.6
169,1,433,80,00:00:05.633333333333333
170,0,0,0,00:00:05.666666666666667
171,1,438,81,00:00:05.7
172,1,438,81,00:00:05.733333333333333
173,1,438,83,00:00:05.766666666666667
174,1,446,83,00:00:05.8
175,1,455,78,00:00:05.833333333333333
176,1,455,78,00:00:05.866666666666666
177,1,463,81,00:00:05.9
178,1,467,82,00:00:05.933333333333334
179,0,0,0,00:00:05.966666666666667
180,1,462,92,00:00:06.0
181,1,486,81,00:00:06.033333333333333
182,1,488,81,00:00:06.066666666666666
183,0,0,0,00:00:06.1
184,0,0,0,00:00:06.133333333333333
185,0,0,0,00:00:06.166666666666667
186,1,492,95,00:00:06.2
187,1,513,82,00:00:06.233333333333333
188,1,515,82,00:00:06.266666666666667
189,1,522,83,00:00:06.3
190,1,523,86,00:00:06.333333333333333
191,1,531,85,00:00:06.366666666666666
192,0,0,0,00:00:06.4
193,0,0,0,00:00:06.433333333333334
194,0,0,0,00:00:06.466666666666667
195,0,0,0,00:00:06.5
196,1,440,6,00:00:06.533333333333333
197,1,441,20,00:00:06.566666666666666
198,1,442,45,00:00:06.6
199,1,443,68,00:00:06.633333333333333
200,1,443,68,00:00:06.666666666666667
201,1,415,258,00:00:06.7
202,1,595,82,00:00:06.733333333333333
203,1,448,143,00:00:06.766666666666667
204,1,450,170,00:00:06.8
205,0,0,0,00:00:06.833333333333333
206,0,0,0,00:00:06.866666666666666
207,1,468,221,00:00:06.8999999999999995
208,1,476,240,00:00:06.933333333333334
209,1,461,243,00:00:06.966666666666667
210,0,0,0,00:00:07.0
211,0,0,0,00:00:07.033333333333333
212,0,0,0,00:00:07.066666666666666
213,0,0,0,00:00:07.1
214,0,0,0,00:00:07.133333333333333
215,0,0,0,00:00:07.166666666666667
216,1,691,93,00:00:07.2
217,0,0,0,00:00:07.233333333333333
218,0,0,0,00:00:07.266666666666667
219,0,0,0,00:00:07.3
220,0,0,0,00:00:07.333333333333333
221,1,783,112,00:00:07.366666666666666
222,1,57,193,00:00:07.3999999999999995
223,1,56,191,00:00:07.433333333333334
224,0,0,0,00:00:07.466666666666667
225,1,815,86,00:00:07.5
226,1,822,81,00:00:07.533333333333333
227,1,830,78,00:00:07.566666666666666
228,1,787,86,00:00:07.6
229,1,791,91,00:00:07.633333333333333
230,0,0,0,00:00:07.666666666666667
231,0,0,0,00:00:07.7
